"","text_prepared.1","text_prepared.2","text_prepared.3","text_prepared.4","text_prepared.5","text_prepared.6","text_prepared.7","text_prepared.8","text_prepared.9","text_prepared.10","text_prepared.11","text_prepared.12","text_prepared.13","text_prepared.14","text_prepared.15","text_prepared.16","text_prepared.17","text_prepared.18","text_prepared.19","text_prepared.20","text_prepared.21","text_prepared.22","text_prepared.23","text_prepared.24","text_prepared.25","text_prepared.26","text_prepared.27","text_prepared.28","text_prepared.29","text_prepared.30","text_prepared.31","text_prepared.32","text_prepared.33","text_prepared.34","text_prepared.35","text_prepared.36","text_prepared.37","text_prepared.38","text_prepared.39","text_prepared.40","text_prepared.41","text_prepared.42","text_prepared.43","text_prepared.44","text_prepared.45","text_prepared.46","text_prepared.47","text_prepared.48","text_prepared.49","text_prepared.50","text_prepared.51","text_prepared.52","text_prepared.53","text_prepared.54","labels"
"labels1",9,613,2,1,59,9,2655,78,353,1,103,486,2527,10,84,16,2957,2,8862,15,1,119,31,14,1,1765,4,3075,11,50,11,97,332,3,577,59,47,1,186,298,57,90,1358,2939,95,502,2,1582,44,8144,38,3,16,9483,0
"labels2",8144,38,3,16,9483,2,5,202,10,7345,39,84,127,298,1212,39,84,1625,257,9,22,621,2,38,621,47,1,374,315,2,6,926,57,2,39,85,1625,257,1,51,128,32,621,2,38,621,47,1,374,315,2,6,926,57,0
"labels3",6,1400,190,1,150,480,9,22,190,1,107,4,25,111,2,546,3769,3,4802,5,1,1348,4,10,10408,6,204,4,19,500,44,409,13,524,145,4,119,200,9,28,613,10,59,11,1,198,111,5,1,83,5,44,3,384,0
"labels4",5,1,1348,4,10,10408,6,204,4,19,500,44,409,13,524,145,4,119,200,9,28,613,10,59,11,1,198,111,5,1,83,5,44,3,384,12,890,47,1,186,298,57,11,3,68,26,29,428,97,111,5,44,3,384,0
"labels5",9,28,613,10,59,11,1,198,111,5,1,83,5,44,3,384,12,890,47,1,186,298,57,11,3,68,26,29,428,97,111,5,44,3,384,9,613,10,5,1,337,4,1001,10,9,7,670,322,6470,3065,10,18,1,925,0
"labels6",13,6,11116,83,64,25,268,11,599,2,97,1980,3,8984,1,460,4,10,2,47,1,374,63,9,22,1306,480,10,7,676,90,1529,47,1,186,298,57,10,7,1682,8772,3,1,1674,2,1,1922,4,119,238,2,1,119,64,0
"labels7",57,10,7,1682,8772,3,1,1674,2,1,1922,4,119,238,2,1,119,64,5,1,283,657,4,1978,1215,12,1978,1643,1752,32,230,1,1419,747,244,482,8,1,107,1978,120,4,59,4,161,20,5,24,60,6,2712,4,6,852,0
"labels8",2,1,198,4,12,1675,4303,2,26,18,877,3,105,3,285,25,268,3,127,2331,26,32,841,621,2,10,11,3,1192,91,3470,5,1,657,4,495,2,165,2,1,265,3501,11,10,10,66,11,53,2,1773,26,11,208,1224,0
"labels9",1090,185,115,3,248,59,18,358,52,2789,282,26,146,9,8985,8,453,5,9,354,5480,15,1,51,128,4,4773,3,3410,1,99,134,239,889,9,354,5480,15,1,51,128,4,4773,3,3165,1,264,951,4,1,706,5,12,69,1
"labels10",128,4,4773,3,3165,1,264,951,4,1,706,5,12,69,1,1793,11,10,318,315,57,4,523,20,1,239,889,8,99,134,11,599,2,97,60,747,1,952,159,1,1574,2,1,706,32,38,6346,3,23,11117,2,23,4822,9099,1
"labels11",26,226,146,9,2162,3,453,5,2570,4,78,26,7,16,1,523,101,18,512,2,3112,15,4193,1999,10,7,1,4046,4,358,248,47,1,186,298,57,4,397,358,2882,4,700,31,29,1722,3,16,5,40,2,38,16,5,358,1
